Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,P01,P02,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
05_241303121_0123_1_2,Environmental Control (Ecu)/ Safety-Related Products,0123,Assistive Products For Household Tasks,5,Assistive Technology,E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
05_241327891_0124_1_2,High Intensity Electronic Access Method Using Eye or EMG/neural Control,0124,Communication And Information Equipment,5,Assistive Technology,E,No,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_242400811_0103_1_2,Technology and other device positioning and mounting systems,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_300000111_0112_1_2,Assistive Products Relating to Recreation - Sport,0112,Assistive Equipment For Recreation,5,Assistive Technology,E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
05_300000115_0112_1_2,AT Rental - Modified for accessible recreation,0112,Assistive Equipment For Recreation,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_300309811_0112_1_2,Recreation AT - Game Interface,0112,Assistive Equipment For Recreation,5,Assistive Technology,E,No,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_500000303_0103_1_2,Repairs and Maintenance - Other AT,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_500403159_0103_1_1,Repairs and Maintenance - Disability-Related Health Machines,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_500433443_0103_1_2,Repairs and Maintenance - Personal Care/Safety - After Hours,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_500612441_0135_1_2,Repairs and Maintenance - Orthosis,0135,Customised Prosthetics (includes Orthotics),5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_500624304_0135_1_2,Repairs and Maintenance - Prosthesis - Minor,0135,Customised Prosthetics (includes Orthotics),5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_500624305_0135_1_2,Repairs and Maintenance - Prosthesis - Major,0135,Customised Prosthetics (includes Orthotics),5,Assistive Technology,E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
05_500933306_0103_1_2,Repairs and Maintenance - Bathing And Toileting AT,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_501200307_0105_1_2,Repairs and Maintenance - Wheeled Mobility Minor,0105,Personal Mobility Equipment,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_501200308_0105_1_2,Repairs and Maintenance - Wheeled Mobility Major,0105,Personal Mobility Equipment,5,Assistive Technology,E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
05_501212373_0109_1_2,Repairs and Maintenance - Vehicle Modification,0109,Vehicle Modifications,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_501224309_0105_1_2,Tyres,0105,Personal Mobility Equipment,5,Assistive Technology,E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
05_501224310_0105_1_2,Wheelchair or Scooter - Battery or Charger,0105,Personal Mobility Equipment,5,Assistive Technology,E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
05_501236025_0105_1_2,Repairs and Maintenance - Transfer AT,0105,Personal Mobility Equipment,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_501288435_0105_1_2,Repairs and Maintenance - After Hours,0105,Personal Mobility Equipment,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_501812311_0103_1_2,Repairs and Maintenance - Electric Bed,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_502200312_0124_1_2,Repairs and Maintenance - Communication Cognitive or ECU AT,0124,Communication And Information Equipment,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_502206151_0122_1_2,Repairs and Maintenance - Hearing AT,0122,Hearing Equipment,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_502218315_0113_1_2,Repairs and Maintenance - Vision AT,0113,Vision Equipment,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_503000316_0112_1_2,Repairs and Maintenance - Specialised Recreation AT,0112,Assistive Equipment For Recreation,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_702288440_0124_1_2,Programming/Customisation Of Electronic Equipment,0124,Communication And Information Equipment,5,Assistive Technology,H,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
05_711000080_0103_1_2,Delivery - Personal care and safety AT,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_711000080_0105_1_2,Delivery - Personal Mobility and Transfer AT,0105,Personal Mobility Equipment,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_711000080_0109_1_2,Delivery - Vehicle modifications AT,0109,Vehicle Modifications,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_711000080_0112_1_2,Delivery - Recreation AT,0112,Assistive Equipment For Recreation,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_711000080_0113_1_2,Delivery - Vision AT,0113,Vision Equipment,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_711000080_0119_1_2,Delivery - Specialised Hearing AT,0119,Specialised Hearing Services,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_711000080_0122_1_2,Delivery - Hearing AT,0122,Hearing Equipment,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_711000080_0123_1_2,Delivery - Household tasks or control AT,0123,Assistive Products For Household Tasks,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_711000080_0124_1_2,Delivery - Communication and Information AT,0124,Communication And Information Equipment,5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_711000080_0135_1_2,Delivery - Prosthesis or Orthosis,0135,Customised Prosthetics (includes Orthotics),5,Assistive Technology,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
05_800188834_0103_1_2,Early Childhood Flexible AT Package 1,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_800288834_0103_1_2,Early Childhood Flexible AT Package 2,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_800388834_0103_1_2,Early Childhood Flexible AT Package 3,0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_801288834_0103_1_2,Flexible Equipment Package (For Changing Need),0103,Assistive Products For Personal Care And Safety,5,Assistive Technology,E,No,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
05_900101111_0130_1_2,Assistance Dog (Including Dog Guide),0130,Assistance Animals,5,Assistive Technology,E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_123615401_0111_2_2,HM - Ceiling Hoist,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220927,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_180000111_0111_2_2,HM Rental - Bathroom Toilet Ramp,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_181806381_0111_2_2,HM - Rails - Internal Supply and Install,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
06_181806382_0111_2_2,HM - Rails - External Supply and Install,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
06_182100401_0111_2_2,MHM - Electrical and Door Automation,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220927,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_182400121_0111_2_2,HM - Access - Minor Door or Step Modification,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
06_182400221_0111_2_2,HM - Kitchen or Laundry - No Structural Work,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_182400321_0111_2_2,HM - Bathroom/Toilet - No structural work,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_182409401_0111_2_2,MHM - External Door,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220927,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_182409402_0111_2_2,MHM - Internal Door,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220927,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_182415401_0111_2_2,MHM - Flooring,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220927,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_182488377_0111_2_2,HM - Bathroom/Toilet - Structural work,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_182488378_0111_2_2,HM - Kitchen or Laundry - Structural Work,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_182490112_0111_2_2,HM - Building Works Project Management,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_182495121_0111_2_2,CHM - Deposit,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_182495221_0111_2_2,CHM - Progress Stage,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_182495321_0111_2_2,CHM - Practical Completion,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_182495322_0111_2_2,MHM - Practical Completion,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220927,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_182495401_0111_2_2,MHM - Bathroom ,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220927,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_182495402_0111_2_2,MHM - Kitchen ,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220927,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_182495405_0111_2_2,MHM - Laundry,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220927,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_182495407_0111_2_2,MHM - Other works including Bedroom,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220927,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_182495421_0111_2_2,HM - Certification and Compliance Approval,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_182499311_0111_2_2,HM - Design Consultation with Builder,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
06_183003384_0111_2_2,HM - Elevator,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_183010387_0111_2_2,HM - Stair Climber or Stair / Platform Lift,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_183015111_0103_2_2,HM - Ramp - Portable Fibreglass,0103,Assistive Products For Personal Care And Safety,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
06_183018396_0111_2_2,HM - Ramp - Timber with Galvanised Rails,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_183018397_0111_2_2,HM - Ramp - Concrete with Galvanised Rails,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_183018398_0111_2_2,HM - Ramp - Aluminium Modular/Removable,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_183018400_0111_2_2,HM - Ramp - Aluminium Modular/Removable with Landing,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_183018403_0111_2_2,HM - Access - Entrance/Ramp,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
06_183018404_0111_2_2,MHM - Ramp,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220927,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_183018405_0111_2_2,HM - Ramp - Structural,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220927,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_183090401_0111_2_2,MHM - Pathway - External,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220927,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_270303401_0111_2_2,MHM - Airconditioning,0111,Home Modification Design And Construction,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220927,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
06_431_0131_2_2,Specialist Disability Accommodation (SDA) - Quotable Amount,0131,Specialised Disability Accommodation,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20210702,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_432_0131_2_2,SDA Vacancy - Person-Specific Adjustment,0131,Specialised Disability Accommodation,6,Home Modifications and Specialised Disability Accommodation (SDA),E,Yes,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,Quotable Supports
06_434_0131_2_2,Specialist Disability Accommodation (SDA) - Monthly Amount,0131,Specialised Disability Accommodation,6,Home Modifications and Specialised Disability Accommodation (SDA),E,No,20220701,99991231,,,,,,,,,,,NA,NA,NA,NA,NA,
07_001_0106_8_3,Support Coordination Level 1: Support Connection,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",7,Support Coordination,H,No,20220701,99991231,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$99.22,$106.31,Y,Y,Y,Y,N,Price Limited Supports
07_002_0106_8_3,Support Coordination Level 2: Coordination of Supports,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",7,Support Coordination,H,No,20220701,99991231,$100.14,$100.14,$100.14,$100.14,$100.14,$100.14,$100.14,$100.14,$140.19,$150.21,Y,Y,Y,Y,N,Price Limited Supports
07_004_0132_8_3,Support Coordination Level 3: Specialist Support Coordination,0132,Support Coordination,7,Support Coordination,H,No,20220701,99991231,$190.54,$190.54,$190.54,$190.54,$190.54,$190.54,$190.54,$190.54,$266.75,$285.80,Y,Y,Y,Y,N,Price Limited Supports
07_101_0106_6_3,Psychosocial Recovery Coaching - Weekday Daytime,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",7,Support Coordination,H,No,20220701,99991231,$93.34,$93.34,$93.34,$93.34,$93.34,$93.34,$93.34,$93.34,$130.68,$140.01,Y,Y,Y,N,N,Price Limited Supports
07_102_0106_6_3,Psychosocial Recovery Coaching - Weekday Evening,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",7,Support Coordination,H,No,20220701,99991231,$102.86,$102.86,$102.86,$102.86,$102.86,$102.86,$102.86,$102.86,$144.00,$154.29,Y,Y,Y,N,N,Price Limited Supports
07_103_0106_6_3,Psychosocial Recovery Coaching - Weekday Night,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",7,Support Coordination,H,No,20220701,99991231,$104.76,$104.76,$104.76,$104.76,$104.76,$104.76,$104.76,$104.76,$146.66,$157.14,Y,Y,Y,N,N,Price Limited Supports
07_104_0106_6_3,Psychosocial Recovery Coaching - Saturday,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",7,Support Coordination,H,No,20220701,99991231,$131.40,$131.40,$131.40,$131.40,$131.40,$131.40,$131.40,$131.40,$183.96,$197.10,Y,Y,Y,N,N,Price Limited Supports
07_105_0106_6_3,Psychosocial Recovery Coaching - Sunday,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",7,Support Coordination,H,No,20220701,99991231,$169.45,$169.45,$169.45,$169.45,$169.45,$169.45,$169.45,$169.45,$237.23,$254.18,Y,Y,Y,N,N,Price Limited Supports
07_106_0106_6_3,Psychosocial Recovery Coaching - Public Holiday,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",7,Support Coordination,H,No,20220701,99991231,$207.50,$207.50,$207.50,$207.50,$207.50,$207.50,$207.50,$207.50,$290.50,$311.25,Y,Y,Y,N,N,Price Limited Supports
07_501_0106_6_3,Activity Based Transport,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",7,Support Coordination,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
07_799_0106_6_3,Provider travel - non-labour costs,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",7,Support Coordination,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
07_799_0117_8_3,Provider travel - non-labour costs,0117,Development Of Daily Living And Life Skills,7,Support Coordination,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
07_799_0132_8_3,Provider travel - non-labour costs,0132,Support Coordination,7,Support Coordination,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
08_005_0106_2_3,Assistance With Accommodation And Tenancy Obligations,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",8,Improved Living Arrangements,H,No,20220701,99991231,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$99.22,$106.31,Y,Y,Y,N,N,Price Limited Supports
08_590_0106_2_3,Activity Based Transport,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",8,Improved Living Arrangements,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
08_799_0106_2_3,Provider travel - non-labour costs,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",8,Improved Living Arrangements,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
09_006_0106_6_3,Life Transition Planning Incl. Mentoring Peer-Support And Indiv Skill Develop,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",9,Increased Social and Community Participation,H,No,20220701,99991231,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$99.22,$106.31,Y,Y,Y,N,N,Price Limited Supports
09_008_0116_6_3,Innovative Community Participation,0116,Innovative Community Participation,9,Increased Social and Community Participation,E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
09_009_0117_6_3,Skills Development And Training,0117,Development Of Daily Living And Life Skills,9,Increased Social and Community Participation,H,No,20220701,99991231,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$70.87,$99.22,$106.31,Y,Y,Y,N,N,Price Limited Supports
09_011_0125_6_3,Community Participation Activities,0125,"Participation In Community, Social And Civic Activities",9,Increased Social and Community Participation,E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
09_590_0106_6_3,Activity Based Transport,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",9,Increased Social and Community Participation,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
09_591_0117_6_3,Activity Based Transport,0117,Development Of Daily Living And Life Skills,9,Increased Social and Community Participation,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
09_799_0106_6_3,Provider travel - non-labour costs,0106,"Assistance In Coordinating Or Managing Life Stages, Transitions And Supports",9,Increased Social and Community Participation,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
09_799_0117_6_3,Provider travel - non-labour costs,0117,Development Of Daily Living And Life Skills,9,Increased Social and Community Participation,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
10_011_0128_5_3,Employment Related Assessment And Counselling,0128,Therapeutic Supports,10,Finding and Keeping a Job,H,No,20220701,99991231,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$193.99,$271.59,$290.99,Y,Y,Y,Y,N,Price Limited Supports
10_021_0102_5_3,School Leaver Employment Supports,0102,Assistance to Access and Maintain Employment or higher education,10,Finding and Keeping a Job,E,No,20220701,99991231,,,,,,,,,,,N,N,N,N,N,
10_590_0102_5_3,Activity Based Transport,0102,Assistance to Access and Maintain Employment or higher education,10,Finding and Keeping a Job,E,No,20220701,99991231,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,N,N,N,N,N,Unit Price = $1
